user_id,profile_vector_id,name,gender,age,height_cm,religion,caste,marital_status,diet,city,state,education,income,occupation,hobby_1,hobby_2,hobby_3,about_me,preferred_gender,preferred_age_min,preferred_age_max,preferred_height_min,preferred_height_max,preferred_religion,preferred_caste,preferred_city,preferred_state,preferred_education,preferred_income
1,VEC_1,Advik Maharaj,Male,28,164,Jain,General,Widowed,Non-Veg,Kannur,Kerala,1,1,Doctor,Movies,Cricket,Music,Looking For A Caring Partner.,Female,25,34,154,174,Jain,General,Hyderabad,Tamil Nadu,Phd,15-25 Lpa
2,VEC_2,Isaac Dewan,Male,21,160,Christian,Obc,Single,Non-Veg,Hyderabad,Telangana,1,1,Lawyer,Cricket,Painting,Cycling,Career Focused With Strong Values.,Female,21,25,150,170,Jain,Sc,Pune,Kerala,Master,25-40 Lpa
3,VEC_3,Caleb Sami,Male,38,168,Jain,Obc,Widowed,Veg,Hyderabad,Telangana,1,6,Business,Swimming,Yoga,Cycling,Passionate About Learning.,Female,36,41,158,178,Hindu,St,Chennai,Telangana,Bachelor,5-10 Lpa
4,VEC_4,Amruta Chander,Female,42,167,Hindu,Obc,Widowed,Eggetarian,Bengaluru,Karnataka,2,2,Accountant,Cricket,Swimming,Football,Love Books And Technology.,Male,38,48,157,177,Muslim,Sc,Pune,Maharashtra,Higher Secondary,5-10 Lpa
5,VEC_5,Jackson Tiwari,Male,33,167,Christian,Obc,Widowed,Non-Veg,Pune,Maharashtra,4,6,Accountant,Music,Travel,Yoga,Love Travelling And Exploring.,Female,29,36,157,177,Muslim,Sc,Mumbai,Delhi,Master,25-40 Lpa
6,VEC_6,Ira Saini,Female,25,182,Hindu,Obc,Widowed,Veg,Bengaluru,Karnataka,4,5,Doctor,Photography,Music,Reading,Love Books And Technology.,Male,21,31,172,192,Sikh,Sc,Hyderabad,Maharashtra,Higher Secondary,40+ Lpa
7,VEC_7,Udarsh Mall,Male,45,171,Muslim,St,Single,Eggetarian,Panaji,Goa,3,5,Teacher,Music,Cooking,Painting,Career Focused With Strong Values.,Female,41,50,161,181,Jain,Obc,Kannur,Karnataka,Diploma,25-40 Lpa
8,VEC_8,Fariq Sami,Male,36,151,Muslim,General,Single,Eggetarian,Delhi,Delhi,1,1,Accountant,Music,Cycling,Cooking,Career Focused With Strong Values.,Female,33,39,145,161,Sikh,Obc,Chennai,Delhi,Phd,15-25 Lpa
9,VEC_9,Liam Dugal,Male,43,169,Christian,St,Widowed,Non-Veg,Delhi,Delhi,1,2,Business,Painting,Swimming,Cricket,Career Focused With Strong Values.,Female,39,45,159,179,Jain,Obc,Delhi,Tamil Nadu,Higher Secondary,3-5 Lpa
10,VEC_10,Om Chaudry,Male,22,171,Christian,St,Single,Eggetarian,Chennai,Tamil Nadu,2,6,Government Employee,Music,Chess,Travel,Enjoy Spending Time With Family.,Female,21,27,161,181,Sikh,Obc,Kottayam,Kerala,Master,10-15 Lpa
11,VEC_11,Sachi Chatterjee,Female,44,153,Hindu,General,Divorced,Eggetarian,Hyderabad,Telangana,3,1,Business,Swimming,Football,Cricket,Looking For A Caring Partner.,Male,41,50,145,163,Sikh,Obc,Bengaluru,Tamil Nadu,Bachelor,15-25 Lpa
12,VEC_12,Orinder Lalla,Male,35,185,Jain,General,Single,Veg,Mumbai,Maharashtra,2,4,Accountant,Music,Reading,Swimming,Enjoy Spending Time With Family.,Female,32,40,175,195,Hindu,Obc,Bengaluru,Kerala,Master,10-15 Lpa
13,VEC_13,Veda Yadav,Female,43,185,Muslim,Obc,Divorced,Veg,Mangalore,Karnataka,1,5,Professor,Swimming,Cricket,Photography,Simple And Family Oriented.,Male,39,45,175,195,Hindu,St,Hyderabad,Maharashtra,Phd,5-10 Lpa
14,VEC_14,Ranbir Brar,Male,26,154,Muslim,St,Single,Eggetarian,Delhi,Delhi,2,5,Government Employee,Yoga,Music,Swimming,Simple And Family Oriented.,Female,24,31,145,164,Jain,Sc,Chennai,Tamil Nadu,Bachelor,5-10 Lpa
15,VEC_15,Radhika Handa,Female,42,169,Hindu,St,Widowed,Eggetarian,Hyderabad,Telangana,1,1,Professor,Photography,Cycling,Music,Looking For A Caring Partner.,Male,38,45,159,179,Christian,General,Kozhikode,Karnataka,Bachelor,5-10 Lpa
16,VEC_16,Aradhana Kari,Female,40,183,Christian,General,Single,Non-Veg,Pune,Maharashtra,1,1,Professor,Reading,Swimming,Chess,Love Travelling And Exploring.,Male,36,44,173,193,Jain,Obc,Mumbai,Karnataka,Diploma,40+ Lpa
17,VEC_17,Chaaya Kaul,Female,29,153,Christian,General,Single,Non-Veg,Delhi,Delhi,2,6,Data Analyst,Music,Swimming,Painting,Love Travelling And Exploring.,Male,24,35,145,163,Sikh,General,Kottayam,Kerala,Diploma,25-40 Lpa
